IngredientID,IngredientName,Category,VegNonVeg,Calories_100g,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Guna,DoshaEffect
ING001,Basmati Rice,Grain,Veg,130,2.7,28.0,0.3,"Sweet",Cooling,"Heavy, Soft","V- P- K+"
ING002,Whole Wheat Flour (Atta),Flour,Veg,340,13.2,72.0,2.5,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING003,Moong Dal (Split Yellow),Legume,Veg,347,24.0,63.0,1.2,"Sweet, Astringent",Cooling,"Light, Dry","V- P- K-"
ING004,Toor Dal (Arhar),Legume,Veg,343,22.0,63.0,1.5,"Sweet, Astringent",Heating,"Light, Dry","V+ P- K-"
ING005,Ghee (Clarified Butter),Dairy/Fat,Veg,900,0.0,0.0,99.5,"Sweet",Cooling,"Oily, Heavy","V- P- K0"
ING006,Turmeric (Haldi),Spice,Veg,354,8.0,65.0,10.0,"Pungent, Bitter, Astringent",Heating,"Light, Dry","V- P- K-"
ING007,Cumin Seeds (Jeera),Spice,Veg,375,18.0,44.0,22.0,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING008,Coriander Powder (Dhania),Spice,Veg,298,12.0,55.0,18.0,"Pungent, Bitter",Cooling,"Light, Oily","V- P- K-"
ING009,Onion,Vegetable,Veg,40,1.1,9.3,0.1,"Pungent, Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING010,Tomato,Vegetable,Veg,18,0.9,3.9,0.2,"Sour, Sweet",Heating,"Light, Oily","V- P+ K+"
ING011,Potato,Vegetable,Veg,77,2.0,17.0,0.1,"Sweet, Astringent",Cooling,"Heavy, Dry","V+ P0 K-"
ING012,Ginger (Adrak),Spice,Veg,80,1.8,18.0,0.8,"Pungent, Sweet",Heating,"Light, Oily","V- P0 K-"
ING013,Garlic (Lehsun),Spice,Veg,149,6.4,33.0,0.5,"Pungent, Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING014,Spinach (Palak),Vegetable,Veg,23,2.9,3.6,0.4,"Astringent, Sweet",Cooling,"Light, Moist","V+ P- K0"
ING015,Chicken Breast,Poultry,Non-Veg,165,31.0,0.0,3.6,"Sweet",Heating,"Heavy, Dry","V- P0 K+"
ING016,Paneer (Indian Cottage Cheese),Dairy,Veg,265,18.0,1.2,21.0,"Sweet",Cooling,"Heavy, Oily","V0 P- K+"
ING017,Yogurt (Dahi),Dairy,Veg,61,3.5,4.7,3.3,"Sour, Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING018,Milk (Cow),Dairy,Veg,42,3.4,5.0,1.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING019,Sugar (White),Sweetener,Veg,387,0.0,100.0,0.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING020,Jaggery (Gur),Sweetener,Veg,383,0.4,98.0,0.1,"Sweet",Heating,"Heavy, Moist","V- P+ K0"
ING021,Mustard Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Pungent",Heating,"Sharp, Oily","V- P+ K-"
ING022,Coconut Oil,Oil/Fat,Veg,862,0.0,0.0,100.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING023,Besan (Gram Flour),Flour,Veg,387,22.0,58.0,7.0,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING024,Chickpeas (White),Legume,Veg,364,19.0,61.0,6.0,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING025,Kidney Beans (Rajma),Legume,Veg,333,24.0,60.0,0.8,"Sweet",Cooling,"Heavy, Dry","V+ P0 K+"
ING026,Masoor Dal (Red Lentil),Legume,Veg,353,26.0,60.0,1.0,"Sweet, Astringent",Heating,"Light, Dry","V0 P+ K0"
ING027,Urad Dal (Split Black Gram),Legume,Veg,341,25.0,59.0,1.6,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING028,Cauliflower,Vegetable,Veg,25,1.9,5.0,0.3,"Astringent, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING029,Cabbage,Vegetable,Veg,25,1.3,6.0,0.1,"Astringent, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING030,Carrot,Vegetable,Veg,41,0.9,10.0,0.2,"Sweet, Bitter",Heating,"Light, Dry","V- P- K-"
ING031,Cucumber,Vegetable,Veg,15,0.7,3.6,0.1,"Sweet",Cooling,"Heavy, Moist","V+ P- K+"
ING032,Lemon,Fruit,Veg,29,1.1,9.0,0.3,"Sour",Heating,"Light, Dry","V- P+ K0"
ING033,Cilantro (Coriander Leaves),Herb,Veg,23,2.1,3.7,0.5,"Pungent, Bitter",Cooling,"Light, Dry","V- P- K-"
ING034,Mint (Pudina),Herb,Veg,44,3.8,8.4,0.7,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING035,Green Chili,Spice,Veg,40,1.9,8.8,0.4,"Pungent",Heating,"Sharp, Light","V+ P+ K-"
ING036,Red Chili Powder,Spice,Veg,282,13.0,50.0,14.0,"Pungent",Heating,"Sharp, Light","V+ P+ K-"
ING037,Black Pepper,Spice,Veg,251,10.0,64.0,3.3,"Pungent",Heating,"Light, Dry","V0 P+ K-"
ING038,Cardamom (Green),Spice,Veg,311,11.0,68.0,7.0,"Pungent, Sweet",Cooling,"Light, Dry","V- P- K-"
ING039,Clove (Laung),Spice,Veg,274,6.0,66.0,13.0,"Pungent, Astringent",Heating,"Light, Oily","V0 P+ K-"
ING040,Cinnamon (Dalchini),Spice,Veg,247,4.0,81.0,1.2,"Pungent, Sweet, Astringent",Heating,"Light, Dry","V- P+ K-"
ING041,Mustard Seeds (Black),Spice,Veg,508,26.0,28.0,36.0,"Pungent",Heating,"Sharp, Oily","V0 P+ K-"
ING042,Fenugreek Seeds (Methi),Spice,Veg,323,23.0,58.0,6.0,"Bitter, Pungent",Heating,"Light, Oily","V- P0 K-"
ING043,Asafoetida (Hing),Spice,Veg,296,4.0,73.0,1.0,"Pungent",Heating,"Light, Sharp","V- P+ K-"
ING044,Almonds,Nuts,Veg,579,21.0,22.0,49.0,"Sweet",Heating,"Heavy, Oily","V- P0 K+"
ING045,Cashews,Nuts,Veg,553,18.0,30.0,44.0,"Sweet",Heating,"Heavy, Oily","V- P0 K+"
ING046,Peanuts,Nuts,Veg,567,26.0,16.0,49.0,"Sweet, Astringent",Heating,"Heavy, Oily","V0 P+ K+"
ING047,Coconut (Fresh),Fruit,Veg,354,3.3,15.0,33.0,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING048,Sesame Seeds (White),Seed,Veg,573,18.0,23.0,50.0,"Sweet, Pungent, Bitter, Astringent",Heating,"Heavy, Oily","V- P+ K0"
ING049,Poppy Seeds (Khus Khus),Seed,Veg,525,18.0,28.0,42.0,"Sweet, Astringent",Cooling,"Heavy, Oily","V- P- K+"
ING050,Rock Salt (Sendha Namak),Salt,Veg,0,0.0,0.0,0.0,"Salty",Cooling,"Light, Dry","V- P- K-"
ING051,Okra (Bhindi),Vegetable,Veg,33,1.9,7.5,0.2,"Sweet, Astringent",Cooling,"Heavy, Moist","V+ P- K+"
ING052,Brinjal (Eggplant),Vegetable,Veg,25,1.0,6.0,0.2,"Pungent, Astringent",Heating,"Light, Dry","V+ P0 K-"
ING053,Bottle Gourd (Lauki),Vegetable,Veg,14,0.6,3.4,0.02,"Sweet",Cooling,"Light, Moist","V- P- K-"
ING054,Bitter Gourd (Karela),Vegetable,Veg,17,1.0,3.7,0.2,"Bitter, Pungent",Cooling,"Light, Dry","V+ P- K-"
ING055,Pumpkin (Kaddu),Vegetable,Veg,26,1.0,6.5,0.1,"Sweet",Cooling,"Heavy, Moist","V- P- K-"
ING056,Beetroot,Vegetable,Veg,43,1.6,10.0,0.2,"Sweet",Heating,"Heavy, Moist","V- P+ K0"
ING057,Radish (Mooli),Vegetable,Veg,16,0.7,3.4,0.1,"Pungent",Heating,"Light, Dry","V0 P0 K-"
ING058,Fenugreek Leaves (Methi),Herb,Veg,49,4.4,6.0,0.9,"Bitter",Heating,"Light, Dry","V- P0 K-"
ING059,Mustard Greens (Sarson),Herb,Veg,27,2.9,4.7,0.4,"Pungent, Bitter",Heating,"Light, Sharp","V- P+ K-"
ING060,Mango (Raw),Fruit,Veg,60,0.5,17.0,0.3,"Sour, Astringent",Heating,"Light, Dry","V0 P+ K+"
ING061,Mango (Ripe),Fruit,Veg,60,0.8,15.0,0.4,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING062,Banana,Fruit,Veg,89,1.1,23.0,0.3,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING063,Apple,Fruit,Veg,52,0.3,14.0,0.2,"Sweet, Astringent",Cooling,"Light, Moist","V+ P- K0"
ING064,Pomegranate,Fruit,Veg,83,1.7,19.0,1.2,"Astringent, Sweet, Sour",Cooling,"Light, Moist","V- P- K0"
ING065,Guava,Fruit,Veg,68,2.6,14.0,1.0,"Astringent, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING066,Orange,Fruit,Veg,47,0.9,12.0,0.1,"Sweet, Sour",Heating,"Light, Moist","V- P+ K0"
ING067,Pineapple,Fruit,Veg,50,0.5,13.0,0.1,"Sweet, Sour",Heating,"Heavy, Oily","V- P+ K0"
ING068,Watermelon,Fruit,Veg,30,0.6,8.0,0.2,"Sweet",Cooling,"Heavy, Moist","V+ P- K+"
ING069,Papaya,Fruit,Veg,43,0.5,11.0,0.3,"Sweet, Pungent",Heating,"Light, Dry","V- P- K-"
ING070,Saffron (Kesar),Spice,Veg,310,11.0,65.0,6.0,"Pungent, Bitter, Sweet",Heating,"Oily, Light","V- P- K-"
ING071,Fennel Seeds (Saunf),Spice,Veg,345,16.0,52.0,15.0,"Sweet, Pungent, Bitter",Cooling,"Light, Dry","V- P- K-"
ING072,Bay Leaf (Tej Patta),Spice,Veg,313,7.6,75.0,8.4,"Pungent, Sweet",Heating,"Light, Dry","V- P+ K-"
ING073,Tamarind (Imli),Fruit,Veg,239,2.8,62.5,0.6,"Sour, Sweet",Heating,"Heavy, Dry","V- P+ K+"
ING074,Mace (Javitri),Spice,Veg,475,6.7,50.5,32.4,"Pungent, Astringent",Heating,"Light, Oily","V- P0 K-"
ING075,Nutmeg (Jaiphal),Spice,Veg,525,6.0,49.0,36.0,"Pungent, Astringent",Heating,"Light, Oily","V- P+ K-"
ING076,Ragi (Finger Millet),Grain,Veg,336,7.7,72.6,1.5,"Sweet, Astringent",Heating,"Light, Dry","V+ P0 K-"
ING077,Jowar (Sorghum),Grain,Veg,329,10.6,72.1,3.1,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING078,Bajra (Pearl Millet),Grain,Veg,361,11.6,67.5,5.0,"Sweet, Astringent",Heating,"Light, Dry","V+ P+ K-"
ING079,Semolina (Suji),Grain,Veg,360,12.7,73.0,1.1,"Sweet",Heating,"Heavy, Oily","V- P0 K+"
ING080,Sago (Sabudana),Grain,Veg,358,0.2,88.7,0.0,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING081,Brown Rice,Grain,Veg,111,2.6,23.0,0.9,"Sweet",Heating,"Heavy, Dry","V- P+ K0"
ING082,Black Chickpeas (Kala Chana),Legume,Veg,378,20.5,63.0,6.2,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K0"
ING083,Soyabean,Legume,Veg,446,36.0,30.0,20.0,"Sweet, Astringent",Heating,"Heavy, Oily","V- P+ K+"
ING084,Moth Beans (Matki),Legume,Veg,343,23.0,62.0,1.6,"Sweet, Astringent",Heating,"Light, Dry","V+ P0 K-"
ING085,Green Peas,Vegetable,Veg,81,5.4,14.5,0.4,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K0"
ING086,Drumstick (Moringa),Vegetable,Veg,37,2.5,8.5,0.1,"Pungent, Bitter",Heating,"Light, Dry","V- P0 K-"
ING087,Sweet Potato,Vegetable,Veg,86,1.6,20.1,0.1,"Sweet",Heating,"Heavy, Moist","V- P0 K+"
ING088,Corn,Grain,Veg,86,3.2,19.0,1.2,"Sweet",Heating,"Heavy, Dry","V+ P+ K0"
ING089,Mushroom,Vegetable,Veg,22,3.1,3.3,0.3,"Sweet",Cooling,"Heavy, Moist","V+ P- K+"
ING090,Bell Pepper (Shimla Mirch),Vegetable,Veg,20,1.0,4.6,0.2,"Sweet, Pungent",Heating,"Light, Dry","V+ P0 K-"
ING091,Pistachio,Nuts,Veg,562,20.0,28.0,45.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING092,Walnut,Nuts,Veg,654,15.0,14.0,65.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING093,Dates,Fruit,Veg,282,2.5,75.0,0.4,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING094,Raisins,Fruit,Veg,299,3.1,79.0,0.5,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING095,Figs,Fruit,Veg,74,0.8,19.0,0.3,"Sweet",Cooling,"Heavy, Oily","V- P- K+"
ING096,Water Chestnuts (Singhara),Vegetable,Veg,97,1.4,23.9,0.1,"Sweet, Astringent",Cooling,"Heavy, Moist","V+ P- K+"
ING097,Curry Leaves,Herb,Veg,108,6.1,18.7,1.0,"Bitter, Pungent",Cooling,"Light, Dry","V- P- K-"
ING098,Honey,Sweetener,Veg,304,0.3,82.0,0.0,"Sweet, Astringent",Heating,"Light, Dry","V- P+ K-"
ING099,Vinegar,Condiment,Veg,18,0.0,0.9,0.0,"Sour",Heating,"Light, Sharp","V- P+ K0"
ING100,Lamb/Mutton,Meat,Non-Veg,294,25.0,0.0,21.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING101,Fish (Generic),Fish,Non-Veg,206,22.0,0.0,12.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING102,Prawns,Seafood,Non-Veg,99,24.0,0.2,0.3,"Sweet, Salty",Heating,"Light, Oily","V- P+ K+"
ING103,Eggs,Poultry,Non-Veg,155,13.0,1.1,11.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING104,Rice Flour,Flour,Veg,366,6.0,80.0,1.4,"Sweet",Cooling,"Heavy, Dry","V- P- K+"
ING105,Maida (Refined Flour),Flour,Veg,364,10.0,76.0,1.0,"Sweet",Heating,"Heavy, Dry","V+ P+ K+"
ING106,Barley (Jau),Grain,Veg,354,12.5,73.5,2.3,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING107,Oats,Grain,Veg,389,16.9,66.3,6.9,"Sweet",Heating,"Heavy, Moist","V- P0 K+"
ING108,Quinoa,Grain,Veg,368,14.1,64.2,6.1,"Sweet, Bitter",Heating,"Light, Dry","V- P- K-"
ING109,Buckwheat (Kuttu),Grain,Veg,343,13.3,71.5,3.4,"Sweet, Astringent",Heating,"Light, Dry","V- P0 K-"
ING110,Amaranth (Rajgira),Grain,Veg,371,13.6,65.3,7.0,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING111,Corn Flour,Flour,Veg,381,6.9,86.0,3.9,"Sweet",Heating,"Heavy, Dry","V+ P+ K0"
ING112,Split Chickpeas (Chana Dal),Legume,Veg,372,20.8,60.9,5.6,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K-"
ING113,Green Gram (Whole Moong),Legume,Veg,347,24.0,63.0,1.2,"Sweet, Astringent",Cooling,"Light, Dry","V- P- K-"
ING114,Black Eyed Peas (Lobia),Legume,Veg,336,23.5,60.0,1.3,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K0"
ING115,Horse Gram (Kulthi),Legume,Veg,321,22.0,57.0,0.5,"Astringent",Heating,"Light, Dry","V+ P0 K-"
ING116,Dew Beans (Matki),Legume,Veg,343,23.0,62.0,1.6,"Sweet, Astringent",Heating,"Light, Dry","V+ P0 K-"
ING117,Pigeon Peas (Whole Toor),Legume,Veg,343,22.0,63.0,1.5,"Sweet, Astringent",Heating,"Light, Dry","V+ P- K-"
ING118,Black Gram (Whole Urad),Legume,Veg,341,25.0,59.0,1.6,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING119,Ridge Gourd (Turai),Vegetable,Veg,17,0.5,3.4,0.1,"Sweet",Cooling,"Light, Moist","V- P- K-"
ING120,Pointed Gourd (Parwal),Vegetable,Veg,20,2.0,2.2,0.3,"Sweet, Bitter",Heating,"Light, Dry","V- P0 K-"
ING121,Ash Gourd (Petha),Vegetable,Veg,13,0.4,3.0,0.2,"Sweet",Cooling,"Heavy, Moist","V- P- K-"
ING122,Snake Gourd (Chichinda),Vegetable,Veg,18,0.5,3.0,0.3,"Bitter, Sweet",Cooling,"Light, Dry","V+ P- K-"
ING123,Ivy Gourd (Tindora),Vegetable,Veg,18,1.2,3.1,0.1,"Sweet",Cooling,"Light, Dry","V+ P- K-"
ING124,Taro Root (Arbi),Vegetable,Veg,112,1.5,26.5,0.2,"Sweet",Heating,"Heavy, Moist","V- P0 K+"
ING125,Yam (Suran),Vegetable,Veg,118,1.5,27.9,0.2,"Pungent, Astringent",Heating,"Light, Dry","V0 P0 K-"
ING126,Green Beans,Vegetable,Veg,31,1.8,7.0,0.1,"Sweet, Astringent",Cooling,"Light, Dry","V+ P- K0"
ING127,Cluster Beans (Gawar),Vegetable,Veg,15,3.0,10.0,0.0,"Astringent, Bitter",Heating,"Light, Dry","V+ P0 K-"
ING128,Broad Beans (Sem),Vegetable,Veg,48,4.5,8.0,0.1,"Sweet, Astringent",Cooling,"Heavy, Dry","V+ P- K+"
ING129,Broccoli,Vegetable,Veg,34,2.8,7.0,0.4,"Astringent",Cooling,"Light, Dry","V+ P- K-"
ING130,Zucchini,Vegetable,Veg,17,1.2,3.1,0.3,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING131,Lettuce,Vegetable,Veg,15,1.4,2.9,0.2,"Bitter, Sweet",Cooling,"Light, Moist","V+ P- K-"
ING132,Kale,Vegetable,Veg,49,4.3,9.0,0.9,"Bitter, Astringent",Heating,"Light, Dry","V+ P- K-"
ING133,Amaranth Leaves (Chaulai),Herb,Veg,23,2.5,4.0,0.3,"Astringent",Cooling,"Light, Dry","V+ P- K-"
ING134,Dill Leaves (Suva),Herb,Veg,43,3.5,7.0,1.1,"Pungent, Bitter",Heating,"Light, Dry","V- P0 K-"
ING135,Colocasia Leaves (Patra),Herb,Veg,60,3.9,6.7,1.5,"Pungent, Astringent",Heating,"Light, Dry","V- P0 K-"
ING136,Betel Leaves (Paan),Herb,Veg,44,3.1,6.1,0.8,"Pungent, Bitter, Astringent",Heating,"Light, Dry","V- P+ K-"
ING137,Lime,Fruit,Veg,30,0.7,11.0,0.2,"Sour",Heating,"Light, Dry","V- P+ K0"
ING138,Grapes,Fruit,Veg,69,0.7,18.0,0.2,"Sweet, Sour",Cooling,"Heavy, Moist","V- P- K+"
ING139,Chickoo (Sapodilla),Fruit,Veg,83,0.4,20.0,1.1,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING140,Custard Apple (Sitaphal),Fruit,Veg,94,2.1,23.6,0.2,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING141,Jackfruit,Fruit,Veg,95,1.7,23.5,0.6,"Sweet, Astringent",Cooling,"Heavy, Moist","V- P- K+"
ING142,Lychee,Fruit,Veg,66,0.8,17.0,0.4,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING143,Plum,Fruit,Veg,46,0.7,11.0,0.3,"Sweet, Sour",Heating,"Light, Moist","V- P0 K0"
ING144,Peach,Fruit,Veg,39,0.9,10.0,0.3,"Sweet, Sour",Heating,"Light, Moist","V- P0 K0"
ING145,Pear,Fruit,Veg,57,0.4,15.0,0.1,"Sweet, Astringent",Cooling,"Heavy, Dry","V+ P- K0"
ING146,Cherry,Fruit,Veg,50,1.0,12.0,0.3,"Sweet, Sour",Heating,"Light, Moist","V- P0 K0"
ING147,Indian Gooseberry (Amla),Fruit,Veg,44,0.9,10.0,0.6,"Sour, Astringent, Pungent, Bitter, Sweet",Cooling,"Light, Dry","V- P- K-"
ING148,Star Fruit (Kamrakh),Fruit,Veg,31,1.0,6.7,0.3,"Sour, Sweet",Cooling,"Light, Dry","V+ P- K0"
ING149,Wood Apple (Bael),Fruit,Veg,137,2.0,32.0,0.3,"Astringent, Sweet",Cooling,"Heavy, Dry","V0 P- K-"
ING150,Indian Jujube (Ber),Fruit,Veg,79,1.2,20.0,0.2,"Sweet, Sour",Cooling,"Heavy, Moist","V- P- K+"
ING151,Carom Seeds (Ajwain),Spice,Veg,394,16.0,43.0,25.0,"Pungent, Bitter",Heating,"Light, Dry","V- P+ K-"
ING152,Black Cumin (Kala Jeera),Spice,Veg,375,18.0,44.0,22.0,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING153,Nigella Seeds (Kalonji),Spice,Veg,534,18.0,44.0,33.0,"Pungent, Bitter",Heating,"Light, Dry","V- P+ K-"
ING154,Dry Ginger Powder (Sonth),Spice,Veg,335,9.0,72.0,4.0,"Pungent",Heating,"Light, Dry","V- P0 K-"
ING155,Mango Powder (Amchur),Spice,Veg,362,4.0,88.0,1.0,"Sour",Heating,"Light, Dry","V0 P+ K0"
ING156,Pomegranate Seed Powder (Anardana),Spice,Veg,307,11.0,60.0,2.0,"Sour, Astringent",Heating,"Light, Dry","V- P+ K0"
ING157,Black Salt (Kala Namak),Salt,Veg,0,0.0,0.0,0.0,"Salty, Pungent",Heating,"Light, Dry","V- P+ K-"
ING158,Flax Seeds (Alsi),Seed,Veg,534,18.0,29.0,42.0,"Sweet",Heating,"Heavy, Oily","V- P0 K+"
ING159,Sunflower Seeds,Seed,Veg,584,21.0,20.0,51.0,"Sweet",Heating,"Heavy, Oily","V- P+ K+"
ING160,Pumpkin Seeds,Seed,Veg,559,30.0,11.0,49.0,"Sweet",Heating,"Heavy, Oily","V- P0 K+"
ING161,Chia Seeds,Seed,Veg,486,17.0,42.0,31.0,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING162,Gond (Edible Gum),Resin,Veg,368,0.5,90.0,0.1,"Sweet",Heating,"Heavy, Moist","V- P0 K+"
ING163,Makhana (Fox Nuts),Seed,Veg,347,9.7,77.0,0.1,"Sweet, Astringent",Cooling,"Light, Dry","V- P- K-"
ING164,Arrowroot Powder,Flour,Veg,357,0.3,88.0,0.1,"Sweet",Cooling,"Light, Dry","V- P- K-"
ING165,Kewra Water,Flavoring,Veg,0,0.0,0.0,0.0,"Sweet, Pungent",Cooling,"Light, Moist","V- P- K0"
ING166,Rose Water,Flavoring,Veg,0,0.0,0.0,0.0,"Sweet, Bitter, Astringent",Cooling,"Light, Moist","V- P- K-"
ING167,Soya Chunks,Legume,Veg,345,52.0,33.0,0.5,"Sweet, Astringent",Heating,"Light, Dry","V- P+ K+"
ING168,Tofu,Legume,Veg,76,8.0,1.9,4.8,"Sweet",Cooling,"Heavy, Moist","V- P- K+"
ING169,Groundnut Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Heating,"Heavy, Oily","V- P+ K0"
ING170,Sesame Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet, Pungent, Bitter, Astringent",Heating,"Heavy, Oily","V- P+ K0"
ING171,Sunflower Oil,Oil/Fat,Veg,884,0.0,0.0,100.0,"Sweet",Heating,"Light, Oily","V- P+ K0"
